t,tau2,tau3,tau6,tau7,dtr2,dtr3,dtr6,dtr7
3.290000,11.056996,1.100000,-0.650000,0.840000,-0.843004,1.385177,1.741667,12.868417
3.390000,11.170795,1.100000,-0.650000,0.840000,-0.729205,1.364456,1.492931,18.366190
3.490000,11.401127,0.625310,-0.650000,0.840000,-0.498873,0.525310,0.944929,6.655993
3.590000,11.591484,0.381698,-1.021438,0.840000,-0.308516,0.281698,0.378562,6.028582
3.690000,11.816745,0.737079,-1.874289,0.840000,-0.083255,0.637079,-0.474289,12.621466
3.790000,12.039907,1.100000,-2.150000,0.840000,0.139907,1.470882,-1.546861,14.996948
3.890000,12.271017,0.651974,-2.150000,0.840000,0.371017,0.551974,-2.175686,5.344811
3.990000,12.204385,0.729877,-2.150000,0.840000,0.304385,0.629877,-1.955833,13.291348
4.090000,12.081764,1.100000,-2.150000,0.840000,0.181764,1.441956,-1.611027,18.645666
4.190000,11.816873,1.100000,-2.150000,0.840000,-0.083127,1.279863,-0.937465,13.269619
4.290000,11.637022,0.906427,-1.683699,0.840000,-0.262978,0.806427,-0.283699,10.054967
4.390000,11.422142,0.626550,-1.059035,0.840000,-0.477858,0.526550,0.340965,6.080609
4.490000,11.249345,-0.271238,-0.650000,-0.660000,-0.650655,-0.371238,0.973757,-6.089974
4.590000,11.042821,-0.547855,-0.650000,-0.660000,-0.857179,-0.647855,1.670394,-4.866694
4.690000,10.976015,-0.900000,-0.650000,-0.660000,-0.923985,-1.158531,2.022592,-17.117214
4.790000,10.957856,-0.900000,-0.650000,-0.660000,-0.942144,-1.358355,2.243200,-22.242036
4.890000,11.128202,-0.758167,-0.650000,-0.660000,-0.771798,-0.858167,1.813417,-18.528205
4.990000,11.375475,-0.842960,-0.650000,-0.660000,-0.524525,-0.942960,0.932396,-14.448793
5.090000,11.414973,-0.016638,-2.150000,0.840000,-0.485027,-0.116638,-2.134920,3.763768
5.190000,11.070343,-0.563393,-2.150000,0.840000,-0.829657,-0.663393,-3.219554,3.198040
5.290000,12.424545,-0.245195,-2.150000,-0.046638,0.524545,-0.345195,-8.955996,-0.136638
5.390000,11.755648,-0.900000,-2.150000,-0.660000,-0.144352,-1.102259,-11.008151,-25.191898
5.490000,12.440405,1.100000,-2.150000,-0.660000,0.540405,1.355388,-15.082460,-9.872580
5.590000,12.318714,-0.153618,-2.150000,-0.660000,0.418714,-0.253618,-16.753954,-19.959382
5.690000,11.045562,-0.900000,-2.150000,-0.660000,-0.854438,-1.494048,-16.461756,-45.151638
5.790000,10.926636,0.686167,-2.150000,-0.660000,-0.973364,0.586167,-18.356960,-37.952071
5.890000,11.523969,-0.100256,-2.150000,-0.660000,-0.376031,-0.200256,-18.376526,-53.959938
5.990000,11.747731,-0.900000,-2.150000,-0.660000,-0.152269,-1.430176,-13.762698,-104.783591
t,tau2,tau3,tau6,tau7,dtr2,dtr3,dtr6,dtr7
0.090000,10.284670,-0.048024,-0.650000,-0.171256,-1.615330,-0.148024,2.015209,-0.261256
0.190000,11.552275,0.148163,-0.650000,-0.660000,-0.347725,0.048163,1.678632,-3.041948
0.290000,10.768616,-0.900000,-0.650000,-0.660000,-1.131384,-1.517705,2.171562,-17.937733
0.390000,11.061398,-0.900000,-0.650000,-0.660000,-0.838602,-1.278296,2.049055,-23.856031
0.490000,11.128876,-0.900000,-0.650000,-0.660000,-0.771124,-1.493682,2.233953,-19.169669
0.590000,11.225838,-0.771475,-0.650000,-0.660000,-0.674162,-0.871475,1.750311,-18.770523
0.690000,11.432074,-0.900000,-0.650000,-0.660000,-0.467926,-1.745163,1.180342,-27.334711
0.790000,11.388671,-0.900000,-0.650000,-0.660000,-0.511329,-1.354294,1.238408,-21.711274
0.890000,11.539805,-0.767102,-0.650000,-0.660000,-0.360195,-0.867102,1.005205,-20.066003
0.990000,11.644691,-0.900000,-0.924526,-0.660000,-0.255309,-1.009999,0.475474,-14.904452
1.090000,11.887267,0.039703,-1.627948,-0.660000,-0.012733,-0.060297,-0.227948,-7.955959
1.190000,12.152168,0.840455,-2.150000,-0.407738,0.252168,0.740455,-1.189395,-0.497738
1.290000,12.366112,0.813801,-2.150000,0.840000,0.466112,0.713801,-2.022524,4.080362
1.390000,12.496810,1.100000,-2.150000,0.840000,0.596810,1.367565,-2.546458,12.768230
1.490000,12.522215,1.100000,-2.150000,0.840000,0.622215,1.387339,-2.753748,13.541395
1.590000,12.292452,0.683309,-2.150000,0.840000,0.392452,0.583309,-1.957043,5.887386
1.690000,12.025892,0.592143,-2.150000,0.840000,0.125892,0.492143,-1.106882,9.252213
1.790000,11.762839,-0.174512,-1.653680,-0.660000,-0.137161,-0.274512,-0.253680,-2.070884
1.890000,11.449675,-0.900000,-0.702427,-0.660000,-0.450325,-1.107176,0.697573,-15.245254
