reward,episode,image,idx_in_image,dataset
21.391650099403577,,6.3-training_start-0.5-4.0_red_points.png,15,segment6_1_to_6_5
10.35618690094072,,6.3-training_start-0.5-4.0_red_points.png,16,segment6_1_to_6_5
21.714711729622262,,6.3-training_start-0.5-4.0_red_points.png,17,segment6_1_to_6_5
20.795228628230618,,6.3-training_start-0.5-4.0_red_points.png,18,segment6_1_to_6_5
32.22664015904573,,6.3-training_start-0.5-4.0_red_points.png,19,segment6_1_to_6_5
16.4665134194831,,6.3-training_start-0.5-4.0_red_points.png,20,segment6_1_to_6_5
29.462240640663065,,6.3-training_start-0.5-4.0_red_points.png,21,segment6_1_to_6_5
17.814699106945625,,6.3-training_start-0.5-4.0_red_points.png,22,segment6_1_to_6_5
19.08051689860835,,6.3-training_start-0.5-4.0_red_points.png,23,segment6_1_to_6_5
28.05168986083499,,6.3-training_start-0.5-4.0_red_points.png,24,segment6_1_to_6_5
14.47971263329116,,6.3-training_start-0.5-4.0_red_points.png,25,segment6_1_to_6_5
22.984574820580068,,6.3-training_start-0.5-4.0_red_points.png,26,segment6_1_to_6_5
41.10602289696367,,6.4-training_start-0.5-4.0_red_points.png,1,segment6_1_to_6_5
18.040816326530614,,6.4-training_start-0.5-4.0_red_points.png,2,segment6_1_to_6_5
21.07500662602704,,6.4-training_start-0.5-4.0_red_points.png,3,segment6_1_to_6_5
14.42857142857143,,6.4-training_start-0.5-4.0_red_points.png,4,segment6_1_to_6_5
40.78034371643394,,6.4-training_start-0.5-4.0_red_points.png,5,segment6_1_to_6_5
23.85075421472937,,6.4-training_start-0.5-4.0_red_points.png,6,segment6_1_to_6_5
16.48262548262548,,6.4-training_start-0.5-4.0_red_points.png,7,segment6_1_to_6_5
19.785714285714285,,6.4-training_start-0.5-4.0_red_points.png,8,segment6_1_to_6_5
20.428571428571427,,6.4-training_start-0.5-4.0_red_points.png,9,segment6_1_to_6_5
36.196273291925465,,6.4-training_start-0.5-4.0_red_points.png,10,segment6_1_to_6_5
19.116402116402117,,6.4-training_start-0.5-4.0_red_points.png,11,segment6_1_to_6_5
4.663265306122447,,6.4-training_start-0.5-4.0_red_points.png,12,segment6_1_to_6_5
21.803862484591157,,6.4-training_start-0.5-4.0_red_points.png,13,segment6_1_to_6_5
16.357142857142854,,6.4-training_start-0.5-4.0_red_points.png,14,segment6_1_to_6_5
16.537547057658017,,6.4-training_start-0.5-4.0_red_points.png,15,segment6_1_to_6_5
12.813867715761,,6.4-training_start-0.5-4.0_red_points.png,16,segment6_1_to_6_5
9.897959183673471,,6.4-training_start-0.5-4.0_red_points.png,17,segment6_1_to_6_5
22.427551020408163,,6.4-training_start-0.5-4.0_red_points.png,18,segment6_1_to_6_5
11.898163265306115,,6.4-training_start-0.5-4.0_red_points.png,19,segment6_1_to_6_5
31.112244897959183,,6.4-training_start-0.5-4.0_red_points.png,20,segment6_1_to_6_5
6.015063168124392,,6.4-training_start-0.5-4.0_red_points.png,21,segment6_1_to_6_5
9.106413994169095,,6.4-training_start-0.5-4.0_red_points.png,22,segment6_1_to_6_5
18.020687727145653,,6.4-training_start-0.5-4.0_red_points.png,23,segment6_1_to_6_5
16.55498020103564,,6.4-training_start-0.5-4.0_red_points.png,24,segment6_1_to_6_5
12.065862708719855,,6.4-training_start-0.5-4.0_red_points.png,25,segment6_1_to_6_5
19.293563579277865,,6.4-training_start-0.5-4.0_red_points.png,26,segment6_1_to_6_5
19.50110314396029,,6.4-training_start-0.5-4.0_red_points.png,27,segment6_1_to_6_5
18.129251700680275,,6.4-training_start-0.5-4.0_red_points.png,28,segment6_1_to_6_5
15.01277894335304,,6.4-training_start-0.5-4.0_red_points.png,29,segment6_1_to_6_5
10.084924292297558,,6.4-training_start-0.5-4.0_red_points.png,30,segment6_1_to_6_5
26.85084033613445,,6.4-training_start-0.5-4.0_red_points.png,31,segment6_1_to_6_5
22.540816326530614,,6.4-training_start-0.5-4.0_red_points.png,32,segment6_1_to_6_5
12.716970998925897,,6.4-training_start-0.5-4.0_red_points.png,33,segment6_1_to_6_5
15.50534499514091,,6.4-training_start-0.5-4.0_red_points.png,34,segment6_1_to_6_5
28.051020408163264,,6.4-training_start-0.5-4.0_red_points.png,35,segment6_1_to_6_5
19.65961430443737,,6.4-training_start-0.5-4.0_red_points.png,36,segment6_1_to_6_5
15.993129925237426,,6.4-training_start-0.5-4.0_red_points.png,37,segment6_1_to_6_5
11.286157941437445,,6.4-training_start-0.5-4.0_red_points.png,38,segment6_1_to_6_5
8.063829787234042,,6.4-training_start-0.5-4.0_red_points.png,39,segment6_1_to_6_5
13.476879359338676,,6.4-training_start-0.5-4.0_red_points.png,40,segment6_1_to_6_5
23.09183673469388,,6.4-training_start-0.5-4.0_red_points.png,41,segment6_1_to_6_5
8.642857142857146,,6.4-training_start-0.5-4.0_red_points.png,42,segment6_1_to_6_5
17.181615503344197,,6.4-training_start-0.5-4.0_red_points.png,43,segment6_1_to_6_5
20.79591836734694,,6.4-training_start-0.5-4.0_red_points.png,44,segment6_1_to_6_5
24.711288711288717,,6.4-training_start-0.5-4.0_red_points.png,45,segment6_1_to_6_5
11.948979591836732,,6.4-training_start-0.5-4.0_red_points.png,46,segment6_1_to_6_5
30.761904761904763,,6.4-training_start-0.5-4.0_red_points.png,47,segment6_1_to_6_5
26.918367346938776,,6.4-training_start-0.5-4.0_red_points.png,48,segment6_1_to_6_5
17.027034190299496,,6.4-training_start-0.5-4.0_red_points.png,49,segment6_1_to_6_5
12.346938775510203,,6.4-training_start-0.5-4.0_red_points.png,50,segment6_1_to_6_5
0.3563579277865045,,6.4-training_start-0.5-4.0_red_points.png,51,segment6_1_to_6_5
44.79134083539958,,6.4-training_start-0.5-4.0_red_points.png,52,segment6_1_to_6_5
21.626901669758816,,6.4-training_start-0.5-4.0_red_points.png,53,segment6_1_to_6_5
19.163999412714727,,6.4-training_start-0.5-4.0_red_points.png,54,segment6_1_to_6_5
18.4359124944942,,6.4-training_start-0.5-4.0_red_points.png,55,segment6_1_to_6_5
32.03259433269711,,6.4-training_start-0.5-4.0_red_points.png,56,segment6_1_to_6_5
13.204081632653065,,6.4-training_start-0.5-4.0_red_points.png,57,segment6_1_to_6_5
12.836734693877553,,6.4-training_start-0.5-4.0_red_points.png,58,segment6_1_to_6_5
9.98979591836735,,6.4-training_start-0.5-4.0_red_points.png,59,segment6_1_to_6_5
23.03061224489796,,6.4-training_start-0.5-4.0_red_points.png,60,segment6_1_to_6_5
17.824002995693697,,6.4-training_start-0.5-4.0_red_points.png,61,segment6_1_to_6_5
23.60932944606414,,6.4-training_start-0.5-4.0_red_points.png,62,segment6_1_to_6_5
